id,Location,row,col,Date,Lat,Lon,SounderFt,Tdeploy,Tretrieve,Deployer,Lat.dec,Lon.dec,Date & Time,Temp(°C),Depth(m),Date_Time,delta_depth,updown
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5684490741,13.65,0.96,2022-07-16T13:38:34Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5746527778,16.87,0.09,2022-07-16T13:47:30Z,1,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5746759259,16.78,0.69,2022-07-16T13:47:31Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5746990741,16.57,1.43,2022-07-16T13:47:34Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5747222222,16.42,2.21,2022-07-16T13:47:35Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5747453704,16.3,2.82,2022-07-16T13:47:38Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5747685185,16.15,3.23,2022-07-16T13:47:39Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5747916667,15.99,3.57,2022-07-16T13:47:42Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5748148148,15.87,4.08,2022-07-16T13:47:43Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.574837963,15.72,4.75,2022-07-16T13:47:46Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5748611111,15.57,5.68,2022-07-16T13:47:47Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5748842593,15.29,6.53,2022-07-16T13:47:50Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5749074074,15.01,7.25,2022-07-16T13:47:51Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5749305556,14.7,8.18,2022-07-16T13:47:54Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5749537037,14.24,9,2022-07-16T13:47:55Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5749768519,13.87,9.63,2022-07-16T13:47:58Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.575,13.55,10.6,2022-07-16T13:47:59Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5750231482,13.18,11.55,2022-07-16T13:48:02Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5750462963,12.89,12.29,2022-07-16T13:48:04Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5750694444,12.51,12.79,2022-07-16T13:48:05Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5750925926,12.23,13.59,2022-07-16T13:48:08Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5751157407,11.94,14.27,2022-07-16T13:48:09Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5751388889,11.72,14.88,2022-07-16T13:48:12Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.575162037,11.49,15.4,2022-07-16T13:48:13Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5751851852,11.27,16.24,2022-07-16T13:48:16Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5752083333,11.04,16.72,2022-07-16T13:48:17Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5752314815,10.88,16.7,2022-07-16T13:48:20Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5752546296,10.78,16.78,2022-07-16T13:48:21Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5752777778,10.65,16.77,2022-07-16T13:48:24Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5753009259,10.55,16.56,2022-07-16T13:48:25Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5753240741,10.45,16.71,2022-07-16T13:48:28Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5753472222,10.36,16.72,2022-07-16T13:48:29Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5753703704,10.29,16.75,2022-07-16T13:48:32Z,0,down
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5753935185,10.23,16.84,2022-07-16T13:48:33Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5754166667,10.06,16.78,2022-07-16T13:48:36Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5754398148,10,16.8,2022-07-16T13:48:37Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.575462963,9.93,16.79,2022-07-16T13:48:40Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5754861111,9.9,16.66,2022-07-16T13:48:41Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5755092593,9.83,16.71,2022-07-16T13:48:44Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5755324074,9.8,16.64,2022-07-16T13:48:45Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5755555556,9.76,16.54,2022-07-16T13:48:48Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5755787037,9.73,16.6,2022-07-16T13:48:49Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5756018519,9.7,16.6,2022-07-16T13:48:52Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.575625,9.7,16.47,2022-07-16T13:48:53Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5756481482,9.67,16.21,2022-07-16T13:48:56Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5756712963,9.63,15.94,2022-07-16T13:48:58Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5756944444,9.6,15.78,2022-07-16T13:48:59Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5757175926,9.57,15.61,2022-07-16T13:49:02Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5757407407,9.53,15.28,2022-07-16T13:49:03Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5757638889,9.53,14.99,2022-07-16T13:49:06Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.575787037,9.53,14.86,2022-07-16T13:49:07Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5758101852,9.53,14.54,2022-07-16T13:49:10Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5758333333,9.53,14.51,2022-07-16T13:49:11Z,0,up
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,NA,NA,Petra,42.99716667,-70.62152778,44758.5758564815,9.53,14.51,2022-07-16T13:49:14Z,0,up
